transaction_id,date,region,product,amount
TX1001,2019-01-01,apac,gadget,329.73
TX1003,2019-01-01,emea,thingamajig,325.06
TX1004,2019-01-01,apac,gadget,12.26
TX1009,2019-01-01,apac,thingamajig,226.12
TX1011,2019-01-01,amer,widget,148.14
TX1018,2019-01-01,latam,doohickey,398.35
TX1021,2019-01-01,amer,widget,45.56
TX1022,2019-01-01,amer,doohickey,119.7
TX1027,2019-01-01,emea,thingamajig,78.74
TX1031,2019-01-02,amer,doohickey,24.7
TX1036,2019-01-02,emea,widget,56.25
TX1042,2019-01-02,amer,widget,67.07
TX1049,2019-01-02,emea,thingamajig,68.6
TX1052,2019-01-02,amer,gadget,149.97
TX1055,2019-01-02,amer,widget,110.34
TX1060,2019-01-02,apac,gadget,246.87
TX1064,2019-01-02,apac,doohickey,119.52
TX1071,2019-01-02,emea,gadget,355.97
TX1078,2019-01-03,amer,widget,95.96
TX1080,2019-01-03,amer,gadget,591.42
TX1086,2019-01-03,latam,gadget,170.99
TX1089,2019-01-03,amer,thingamajig,41.09
TX1094,2019-01-03,apac,gadget,127.36
TX1099,2019-01-03,emea,widget,168.26
TX1101,2019-01-03,latam,widget,241.97
TX1105,2019-01-03,latam,doohickey,120.36
TX1111,2019-01-04,amer,doohickey,311.13
TX1112,2019-01-04,apac,thingamajig,88.38
TX1113,2019-01-04,amer,gadget,743.03
TX1118,2019-01-04,amer,gadget,590.02
TX1120,2019-01-04,apac,widget,117.38
TX1125,2019-01-04,emea,widget,99.03
TX1128,2019-01-04,amer,gadget,511.32
TX1129,2019-01-04,emea,widget,71.14
TX1136,2019-01-05,apac,gadget,22.21
TX1142,2019-01-05,apac,doohickey,159.77
TX1147,2019-01-05,latam,gadget,499.19
TX1152,2019-01-05,apac,doohickey,342.82
TX1156,2019-01-05,amer,thingamajig,1283.87
TX1161,2019-01-05,apac,gadget,149.13
TX1162,2019-01-05,apac,gadget,104.03
TX1163,2019-01-05,emea,gadget,22.67
TX1164,2019-01-05,amer,widget,570.99
TX1169,2019-01-05,latam,gadget,70.24
TX1174,2019-01-05,latam,gadget,39.06
TX1181,2019-01-05,latam,gadget,158.72
TX1182,2019-01-05,latam,doohickey,29.47
TX1186,2019-01-05,emea,widget,132.08
TX1187,2019-01-05,amer,widget,128.65
TX1189,2019-01-06,latam,gadget,55.63
TX1193,2019-01-06,latam,gadget,53.65
TX1200,2019-01-06,latam,widget,621.18
TX1201,2019-01-06,emea,widget,258.43
TX1208,2019-01-06,apac,thingamajig,458.23
TX1212,2019-01-06,latam,widget,162.57
TX1214,2019-01-06,latam,doohickey,119.33
TX240,2019-02-26,emea,widget,-42.50
TX1221,2019-01-06,amer,thingamajig,374.05
TX1227,2019-01-06,latam,gadget,761.95
TX1229,2019-01-06,emea,widget,89.48
TX1235,2019-01-06,emea,thingamajig,95.31
